open_time,open,high,low,close,volume
2026-02-17 09:15:00,68109.02,68165.95,67992.03,68035.11,38.96723
2026-02-17 09:20:00,68035.11,68099.4,67996.6,68040.76,45.98779
2026-02-17 09:25:00,68040.77,68075.56,68010.0,68031.33,24.02959
2026-02-17 09:30:00,68031.34,68086.91,68012.1,68037.99,22.30777
2026-02-17 09:35:00,68038.0,68055.31,68014.08,68024.01,16.7006
2026-02-17 09:40:00,68024.0,68099.63,67996.68,68074.92,32.49886
2026-02-17 09:45:00,68074.92,68169.4,68049.42,68049.49,44.85961
2026-02-17 09:50:00,68049.49,68171.85,68049.48,68138.45,55.57029
2026-02-17 09:55:00,68138.45,68153.77,68103.09,68126.28,14.91305
2026-02-17 10:00:00,68126.29,68171.88,68093.05,68093.06,27.45167
2026-02-17 10:05:00,68093.05,68171.88,68093.05,68171.87,23.21665
2026-02-17 10:10:00,68171.88,68194.46,68074.7,68132.98,22.16542
2026-02-17 10:15:00,68132.99,68132.99,67800.0,67846.18,133.93852
2026-02-17 10:20:00,67846.18,67965.41,67846.18,67941.82,35.10712
2026-02-17 10:25:00,67941.83,67951.18,67898.3,67916.3,24.22666
2026-02-17 10:30:00,67916.3,67944.36,67856.0,67877.75,39.30676
2026-02-17 10:35:00,67877.74,67909.1,67755.0,67874.49,40.75151
2026-02-17 10:40:00,67874.48,67877.79,67767.04,67786.85,35.76794
2026-02-17 10:45:00,67786.85,67857.87,67750.0,67828.01,25.08588
2026-02-17 10:50:00,67828.01,67828.01,67704.96,67789.05,47.78506
2026-02-17 10:55:00,67789.05,67846.49,67785.58,67845.3,49.59632
2026-02-17 11:00:00,67845.3,67913.46,67805.8,67805.8,58.0755
2026-02-17 11:05:00,67805.8,67862.0,67690.0,67821.74,73.42248
2026-02-17 11:10:00,67821.74,67900.0,67813.51,67891.15,38.4615
2026-02-17 11:15:00,67891.14,67909.1,67816.11,67887.43,60.63587
2026-02-17 11:20:00,67887.42,67935.73,67824.22,67834.64,42.61918
2026-02-17 11:25:00,67834.64,67900.0,67730.0,67900.0,62.66127
2026-02-17 11:30:00,67900.0,67916.4,67865.36,67865.36,25.3909
2026-02-17 11:35:00,67865.37,67865.37,67763.36,67793.79,26.87603
2026-02-17 11:40:00,67793.79,67814.4,67735.39,67742.05,18.01585
2026-02-17 11:45:00,67742.06,67807.73,67721.27,67804.67,26.39224
2026-02-17 11:50:00,67804.66,67869.47,67789.2,67856.3,29.92549
2026-02-17 11:55:00,67856.3,67899.05,67823.06,67854.6,45.20153
2026-02-17 12:00:00,67854.6,67916.4,67827.52,67913.05,45.59148
2026-02-17 12:05:00,67913.04,68176.54,67896.89,68113.18,120.43028
2026-02-17 12:10:00,68113.18,68115.59,68058.28,68068.07,54.85407
2026-02-17 12:15:00,68068.07,68088.56,68018.14,68077.99,33.15683
2026-02-17 12:20:00,68078.0,68157.44,68064.62,68092.16,39.80997
2026-02-17 12:25:00,68092.16,68151.84,68061.55,68107.81,26.3939
2026-02-17 12:30:00,68107.81,68146.92,68085.63,68120.62,32.90965
2026-02-17 12:35:00,68120.62,68299.4,68115.2,68194.59,88.58795
2026-02-17 12:40:00,68194.58,68217.98,68175.77,68180.14,16.89501
2026-02-17 12:45:00,68180.14,68184.64,68076.4,68080.39,29.75308
2026-02-17 12:50:00,68080.38,68080.39,67980.71,68047.19,46.80358
2026-02-17 12:55:00,68047.19,68058.08,67862.94,67919.49,72.75456
2026-02-17 13:00:00,67919.49,67955.55,67752.94,67776.87,62.53695
2026-02-17 13:05:00,67776.88,67964.46,67734.36,67961.28,43.65395
2026-02-17 13:10:00,67961.29,68115.3,67953.72,68101.08,74.71895
2026-02-17 13:15:00,68101.09,68125.3,67986.2,68053.99,35.50069
2026-02-17 13:20:00,68054.0,68360.5,68049.79,68341.7,82.5913
